t,Ek,Ep,Ec
0.298,6.76724e-10,6.88804e-09,7.56476e-09
0.299,6.81137e-10,6.8838e-09,7.56494e-09
0.3,6.85564e-10,6.87955e-09,7.56511e-09
0.301,6.90003e-10,6.87529e-09,7.56529e-09
0.302,6.94455e-10,6.87102e-09,7.56547e-09
0.303,6.98921e-10,6.86673e-09,7.56565e-09
0.304,7.03399e-10,6.86243e-09,7.56583e-09
0.305,7.0789e-10,6.85812e-09,7.56601e-09
0.306,7.12394e-10,6.8538e-09,7.56619e-09
0.307,7.1691e-10,6.84946e-09,7.56637e-09
0.308,7.2144e-10,6.84511e-09,7.56655e-09
0.309,7.25982e-10,6.84075e-09,7.56674e-09
0.31,7.30538e-10,6.83638e-09,7.56692e-09
0.311,7.35106e-10,6.832e-09,7.5671e-09
0.312,7.39686e-10,6.8276e-09,7.56729e-09
0.313,7.4428e-10,6.82319e-09,7.56747e-09
0.314,7.48886e-10,6.81877e-09,7.56765e-09
0.315,7.53505e-10,6.81433e-09,7.56784e-09
0.316,7.58137e-10,6.80989e-09,7.56803e-09
0.317,7.62781e-10,6.80543e-09,7.56821e-09
0.318,7.67438e-10,6.80096e-09,7.5684e-09
0.319,7.72108e-10,6.79648e-09,7.56859e-09
0.32,7.7679e-10,6.79198e-09,7.56877e-09
0.321,7.81485e-10,6.78748e-09,7.56896e-09
0.322,7.86192e-10,6.78296e-09,7.56915e-09
0.323,7.90912e-10,6.77843e-09,7.56934e-09
0.324,7.95645e-10,6.77389e-09,7.56953e-09
0.325,8.0039e-10,6.76933e-09,7.56972e-09
0.326,8.05147e-10,6.76476e-09,7.56991e-09
0.327,8.09917e-10,6.76019e-09,7.5701e-09
0.328,8.147e-10,6.7556e-09,7.57029e-09
0.329,8.19494e-10,6.75099e-09,7.57049e-09
0.33,8.24302e-10,6.74638e-09,7.57068e-09
0.331,8.29122e-10,6.74175e-09,7.57087e-09
0.332,8.33954e-10,6.73711e-09,7.57107e-09
0.333,8.38798e-10,6.73246e-09,7.57126e-09
0.334,8.43655e-10,6.7278e-09,7.57146e-09
0.335,8.48524e-10,6.72313e-09,7.57165e-09
0.336,8.53406e-10,6.71844e-09,7.57185e-09
0.337,8.583e-10,6.71374e-09,7.57204e-09
0.338,8.63206e-10,6.70904e-09,7.57224e-09
0.339,8.68124e-10,6.70431e-09,7.57244e-09
0.34,8.73055e-10,6.69958e-09,7.57264e-09
0.341,8.77997e-10,6.69484e-09,7.57283e-09
0.342,8.82952e-10,6.69008e-09,7.57303e-09
0.343,8.8792e-10,6.68531e-09,7.57323e-09
0.344,8.92899e-10,6.68053e-09,7.57343e-09
0.345,8.9789e-10,6.67574e-09,7.57363e-09
0.346,9.02894e-10,6.67094e-09,7.57383e-09
0.347,9.0791e-10,6.66613e-09,7.57404e-09
0.348,9.12937e-10,6.6613e-09,7.57424e-09
0.349,9.17977e-10,6.65646e-09,7.57444e-09
0.35,9.23029e-10,6.65161e-09,7.57464e-09
0.351,9.28093e-10,6.64675e-09,7.57485e-09
0.352,9.33169e-10,6.64188e-09,7.57505e-09
0.353,9.38256e-10,6.637e-09,7.57525e-09
0.354,9.43356e-10,6.6321e-09,7.57546e-09
0.355,9.48468e-10,6.6272e-09,7.57566e-09
0.356,9.53591e-10,6.62228e-09,7.57587e-09
0.357,9.58727e-10,6.61735e-09,7.57607e-09
0.358,9.63874e-10,6.61241e-09,7.57628e-09
0.359,9.69034e-10,6.60745e-09,7.57649e-09
0.36,9.74205e-10,6.60249e-09,7.5767e-09
0.361,9.79387e-10,6.59752e-09,7.5769e-09
0.362,9.84582e-10,6.59253e-09,7.57711e-09
0.363,9.89789e-10,6.58753e-09,7.57732e-09
0.364,9.95007e-10,6.58252e-09,7.57753e-09
0.365,1.00024e-09,6.5775e-09,7.57774e-09
0.366,1.00548e-09,6.57247e-09,7.57795e-09
0.367,1.01073e-09,6.56743e-09,7.57816e-09
0.368,1.016e-09,6.56238e-09,7.57837e-09
0.369,1.02127e-09,6.55731e-09,7.57859e-09
0.37,1.02656e-09,6.55224e-09,7.5788e-09
0.371,1.03186e-09,6.54715e-09,7.57901e-09
0.372,1.03717e-09,6.54205e-09,7.57922e-09
0.373,1.0425e-09,6.53694e-09,7.57944e-09
0.374,1.04783e-09,6.53182e-09,7.57965e-09
0.375,1.05318e-09,6.52669e-09,7.57987e-09
0.376,1.05853e-09,6.52155e-09,7.58008e-09
0.377,1.0639e-09,6.51639e-09,7.5803e-09
0.378,1.06928e-09,6.51123e-09,7.58051e-09
0.379,1.07467e-09,6.50605e-09,7.58073e-09
0.38,1.08008e-09,6.50087e-09,7.58095e-09
0.381,1.08549e-09,6.49567e-09,7.58116e-09
0.382,1.09092e-09,6.49046e-09,7.58138e-09
0.383,1.09636e-09,6.48524e-09,7.5816e-09
0.384,1.1018e-09,6.48001e-09,7.58182e-09
0.385,1.10726e-09,6.47477e-09,7.58204e-09
0.386,1.11274e-09,6.46952e-09,7.58226e-09
0.387,1.11822e-09,6.46426e-09,7.58248e-09
0.388,1.12371e-09,6.45899e-09,7.5827e-09
0.389,1.12922e-09,6.4537e-09,7.58292e-09
0.39,1.13473e-09,6.44841e-09,7.58314e-09
0.391,1.14026e-09,6.4431e-09,7.58336e-09
0.392,1.1458e-09,6.43779e-09,7.58359e-09
0.393,1.15135e-09,6.43246e-09,7.58381e-09
0.394,1.15691e-09,6.42712e-09,7.58403e-09
0.395,1.16248e-09,6.42177e-09,7.58426e-09
0.396,1.16806e-09,6.41642e-09,7.58448e-09
0.397,1.17366e-09,6.41105e-09,7.5847e-09
0.398,1.17926e-09,6.40567e-09,7.58493e-09
0.399,1.18488e-09,6.40028e-09,7.58515e-09
0.4,1.19051e-09,6.39488e-09,7.58538e-09
0.401,1.19614e-09,6.38946e-09,7.58561e-09
0.402,1.20179e-09,6.38404e-09,7.58583e-09
0.403,1.20745e-09,6.37861e-09,7.58606e-09
0.404,1.21312e-09,6.37317e-09,7.58629e-09
0.405,1.2188e-09,6.36771e-09,7.58652e-09
0.406,1.2245e-09,6.36225e-09,7.58675e-09
0.407,1.2302e-09,6.35678e-09,7.58698e-09
0.408,1.23591e-09,6.35129e-09,7.5872e-09
0.409,1.24164e-09,6.3458e-09,7.58743e-09
0.41,1.24737e-09,6.34029e-09,7.58767e-09
0.411,1.25312e-09,6.33478e-09,7.5879e-09
0.412,1.25887e-09,6.32925e-09,7.58813e-09
0.413,1.26464e-09,6.32372e-09,7.58836e-09
0.414,1.27042e-09,6.31817e-09,7.58859e-09
0.415,1.27621e-09,6.31261e-09,7.58882e-09
0.416,1.28201e-09,6.30705e-09,7.58906e-09
0.417,1.28782e-09,6.30147e-09,7.58929e-09
0.418,1.29364e-09,6.29589e-09,7.58952e-09
0.419,1.29947e-09,6.29029e-09,7.58976e-09
0.42,1.30531e-09,6.28468e-09,7.58999e-09
0.421,1.31116e-09,6.27906e-09,7.59023e-09
0.422,1.31703e-09,6.27344e-09,7.59046e-09
0.423,1.3229e-09,6.2678e-09,7.5907e-09
0.424,1.32878e-09,6.26215e-09,7.59094e-09
0.425,1.33467e-09,6.2565e-09,7.59117e-09
0.426,1.34058e-09,6.25083e-09,7.59141e-09
0.427,1.34649e-09,6.24515e-09,7.59165e-09
0.428,1.35242e-09,6.23947e-09,7.59189e-09
0.429,1.35835e-09,6.23377e-09,7.59212e-09
0.43,1.3643e-09,6.22806e-09,7.59236e-09
0.431,1.37025e-09,6.22235e-09,7.5926e-09
0.432,1.37622e-09,6.21662e-09,7.59284e-09
0.433,1.3822e-09,6.21089e-09,7.59308e-09
0.434,1.38818e-09,6.20514e-09,7.59332e-09
0.435,1.39418e-09,6.19939e-09,7.59356e-09
0.436,1.40018e-09,6.19362e-09,7.5938e-09
0.437,1.4062e-09,6.18785e-09,7.59405e-09
0.438,1.41223e-09,6.18206e-09,7.59429e-09
0.439,1.41826e-09,6.17627e-09,7.59453e-09
0.44,1.42431e-09,6.17046e-09,7.59477e-09
0.441,1.43037e-09,6.16465e-09,7.59502e-09
0.442,1.43643e-09,6.15883e-09,7.59526e-09
0.443,1.44251e-09,6.15299e-09,7.59551e-09
0.444,1.4486e-09,6.14715e-09,7.59575e-09
0.445,1.45469e-09,6.1413e-09,7.596e-09
0.446,1.4608e-09,6.13544e-09,7.59624e-09
0.447,1.46692e-09,6.12957e-09,7.59649e-09
0.448,1.47304e-09,6.12369e-09,7.59673e-09
0.449,1.47918e-09,6.1178e-09,7.59698e-09
0.45,1.48532e-09,6.1119e-09,7.59723e-09
0.451,1.49148e-09,6.10599e-09,7.59747e-09
0.452,1.49764e-09,6.10008e-09,7.59772e-09
0.453,1.50382e-09,6.09415e-09,7.59797e-09
